complex_sentence,cleaned_text,sentence_id
"Jakobshavn Isbræ is a major contributor to the mass balance of the Greenland ice sheet , producing some 10 % of all Greenland icebergs some 35 billion tonnes of icebergs calved off and passing out of the fjord every year .","jakobshavn isbr is a major contributor to the mass balance of the greenland ice sheet , producing some 10  of all greenland icebergs some 35 billion tonnes of icebergs calved off and passing out of the fjord every year .",1
Wright also played the part of Mufasa in the original cast of The Lion King on Broadway and voiced Kron the Iguanodon in Disney 's CGI film '' Dinosaur '' .,wright also played the part of mufasa in the original cast of the lion king on broadway and voiced kron the iguanodon in disney 's cgi film '' dinosaur '' .,2
"In 2007 , she wrote the piano piece '' The Kiss '' that was used for a worldwide TV advertising campaign for Apple iPad 3 and it was also used for Marks & Spencer 's advert .","in 2007 , she wrote the piano piece '' the kiss '' that was used for a worldwide tv advertising campaign for apple ipad 3 and it was also used for marks  spencer 's advert .",3
"The Swiss mounted two attempts on Everest , pre and post-monsoon in 1952 , led by Edouard Wyss - Dunant with Tenzing Norgay promoted to sirdar for the first time .","the swiss mounted two attempts on everest , pre and post-monsoon in 1952 , led by edouard wyss - dunant with tenzing norgay promoted to sirdar for the first time .",4
"Hiratsuka Unichi ( 平塚運一 , 1895 -- 1997 ) , born in Matsue in Honshū , was one of the prominent leaders of the '' sōsaku hanga '' movement in 20th Century Japan .","hiratsuka unichi (  , 1895 -- 1997 ) , born in matsue in honsh , was one of the prominent leaders of the '' ssaku hanga '' movement in 20th century japan .",5
The lead track is an aggressive track which stylistically combines the band 's first album '' As the Flower Withers '' with their more recent release '' Turn Loose the Swans '' .,the lead track is an aggressive track which stylistically combines the band 's first album '' as the flower withers '' with their more recent release '' turn loose the swans '' .,6
"The Vicious White Kids were a punk rock band that formed for one concert , August 15 , 1978 , at the Electric Ballroom in London , Sid Vicious was the lead singer .","the vicious white kids were a punk rock band that formed for one concert , august 15 , 1978 , at the electric ballroom in london , sid vicious was the lead singer .",9
"However , any two unmarried people , including same - sex couples , can register for a reciprocal beneficiary relationship , which provides some of the rights and benefits that come with marriages and civil unions .","however , any two unmarried people , including same - sex couples , can register for a reciprocal beneficiary relationship , which provides some of the rights and benefits that come with marriages and civil unions .",10
While the White House has yet to respond to any petition several state governors have responded .,while the white house has yet to respond to any petition several state governors have responded .,12
"He was inducted into the Oregon Sports Hall of Fame in 2005 , along with Dave Johnson and was inducted into the University of Idaho Sports Hall of Fame with the large inaugural class of 2007 .","he was inducted into the oregon sports hall of fame in 2005 , along with dave johnson and was inducted into the university of idaho sports hall of fame with the large inaugural class of 2007 .",17
The Grey Ghost Streamer is an artificial streamer fly primarily meant to imitate smelt .,the grey ghost streamer is an artificial streamer fly primarily meant to imitate smelt .,18
"F. H. A. Scrivener remarked , that in Rev 17:4 he created new Greek word : ακαθαρτητος ( instead ακαθαρτος ) .","f. h. a. scrivener remarked , that in rev 17:4 he created new greek word :  ( instead  ) .",19
The local branch of Woolworths shut down when the company went into administration and there were rumours of a Wetherspoons pub moving in or a Tesco Metro .,the local branch of woolworths shut down when the company went into administration and there were rumours of a wetherspoons pub moving in or a tesco metro .,23
"His family lived for a time in the low - income , working - class neighborhood of Harrowgate in Northeast Philadelphia 's Kensington section , where he attended St. Joan of Arc Catholic Elementary School .","his family lived for a time in the low - income , working - class neighborhood of harrowgate in northeast philadelphia 's kensington section , where he attended st. joan of arc catholic elementary school .",26
"He forged a partnership with fellow Irish U- 21 international Shane McFaul , helping U.C.D. reach the semi finals of both the League and FAI Cups .","he forged a partnership with fellow irish u- 21 international shane mcfaul , helping u.c.d. reach the semi finals of both the league and fai cups .",32
"The album debuted at number 5 on the US '' Billboard '' 200 for the chart dated on December 11 , 2015 , which is lower than the chart position achieved by G - Eazy 's first album '' These Things Happen '' ( 2014 ) .","the album debuted at number 5 on the us '' billboard '' 200 for the chart dated on december 11 , 2015 , which is lower than the chart position achieved by g - eazy 's first album '' these things happen '' ( 2014 ) .",38
"Multiple chemical sensitivity ( MCS ) , also known as idiopathic environmental intolerances ( IEI ) , is a disputed chronic condition characterized by symptoms that the affected person attributes to low - level exposures to commonly used chemicals .","multiple chemical sensitivity ( mcs ) , also known as idiopathic environmental intolerances ( iei ) , is a disputed chronic condition characterized by symptoms that the affected person attributes to low - level exposures to commonly used chemicals .",39
"Its greatest growth occurred under Ntare Rugama , who ruled the nation from about 1796 to 1850 and saw the kingdom double in size .","its greatest growth occurred under ntare rugama , who ruled the nation from about 1796 to 1850 and saw the kingdom double in size .",40
"Since it has not been heard by any Queen collectors , its existence is somewhat doubtful , although record producer Mack has also confirmed that the version did exist .","since it has not been heard by any queen collectors , its existence is somewhat doubtful , although record producer mack has also confirmed that the version did exist .",42
Valley RFC is a sports club based in Hong Kong with a rugby section ( known as Societe Generale Valley RFC for sponsorship reasons ) as well as Netball and Hockey sections .,valley rfc is a sports club based in hong kong with a rugby section ( known as societe generale valley rfc for sponsorship reasons ) as well as netball and hockey sections .,44
"J.D. begins the show as an intern at Sacred Heart Hospital ; after a year , he becomes a resident , then an attending physician in internal medicine , and eventually residency director of another hospital .","j.d. begins the show as an intern at sacred heart hospital ; after a year , he becomes a resident , then an attending physician in internal medicine , and eventually residency director of another hospital .",45
The Maori team 's most recent match was against England in Rotorua before the 2010 Rugby League Four Nations in New Zealand .,the maori team 's most recent match was against england in rotorua before the 2010 rugby league four nations in new zealand .,46
"The 2/33rd remained at Mersa Metruh , undertaking defensive duties , until May 1941 when the 7th Division began to prepare for an invasion of Vichy French - held Syria and Lebanon .","the 233rd remained at mersa metruh , undertaking defensive duties , until may 1941 when the 7th division began to prepare for an invasion of vichy french - held syria and lebanon .",48
In Rose 's ending it is hinted that he might be the only one powerful enough to stop Bison and in Cody 's ending Guy is shown trying to persuade him to come back on the right side of the law .,in rose 's ending it is hinted that he might be the only one powerful enough to stop bison and in cody 's ending guy is shown trying to persuade him to come back on the right side of the law .,49
"Her sisters are Fifi Trixibelle Geldof and Pixie Geldof , she also had a half - sister , Tiger Lily Hutchence .","her sisters are fifi trixibelle geldof and pixie geldof , she also had a half - sister , tiger lily hutchence .",51
"In the action approach , the states of the physical variable are specified at two points , called the initial and final states ; the values of the physical variable at all intermediate points may then be determined by minimizing the action .","in the action approach , the states of the physical variable are specified at two points , called the initial and final states ; the values of the physical variable at all intermediate points may then be determined by minimizing the action .",52
"Juana Sosa was descended from indigenous Tehuelche from Patagonia in Argentina 's south and his father , Mario Perón 's forbears emigrated to Argentina from Spain , and the Italian island of Sardinia ; in later life Perón would publicly express his pride in his Sardinian roots .","juana sosa was descended from indigenous tehuelche from patagonia in argentina 's south and his father , mario pern 's forbears emigrated to argentina from spain , and the italian island of sardinia ; in later life pern would publicly express his pride in his sardinian roots .",55
He went to school and college in Golapganj before moving to the UK at the age of 18 .,he went to school and college in golapganj before moving to the uk at the age of 18 .,57
"Hermann II , count palatine of Lotharingia from 1064 when reaching majority , until 1085 , count in Ruhrgau and Zulpichgau , count of Brabant ( born 1049 , † Dalhem , September 20 , 1085 ) .","hermann ii , count palatine of lotharingia from 1064 when reaching majority , until 1085 , count in ruhrgau and zulpichgau , count of brabant ( born 1049 ,  dalhem , september 20 , 1085 ) .",59
"It differs from the Jewish form in being a more admittedly syncretic system , however it shares many concepts with Jewish Kabbalah .","it differs from the jewish form in being a more admittedly syncretic system , however it shares many concepts with jewish kabbalah .",61
"The Frelimo flag , used for a brief period after the country gained its independence from Portugal , looks like the current flag but lacking the emblem .","the frelimo flag , used for a brief period after the country gained its independence from portugal , looks like the current flag but lacking the emblem .",62
"Her body was taken to mainland Portugal and interred in the Braganza Pantheon , and almost 130 years later her remains were taken to Brazil .","her body was taken to mainland portugal and interred in the braganza pantheon , and almost 130 years later her remains were taken to brazil .",63
"The album was released in limited numbers by the label , only in a 12 '' vinyl format , and a CD release did not surface until 1995 .","the album was released in limited numbers by the label , only in a 12 '' vinyl format , and a cd release did not surface until 1995 .",64
"Sasuke , unwilling to give himself up to a weakened Orochimaru , fights the attempted body - switch before using his Sharingan to void the jutsu and trap Orochimaru 's soul in himself , giving him access to many of Orochimaru 's abilities in the process .","sasuke , unwilling to give himself up to a weakened orochimaru , fights the attempted body - switch before using his sharingan to void the jutsu and trap orochimaru 's soul in himself , giving him access to many of orochimaru 's abilities in the process .",66
The current principal of Ridgecliff is Julie West.phrase for the school is '' Home of The Rams '' .,the current principal of ridgecliff is julie west.phrase for the school is '' home of the rams '' .,67
"Lady Yuhwa got pregnant with his first and only son , King Dongmyeong , but unfortunately , Hae Mosu was captured by the Han Soldiers and blinded him .","lady yuhwa got pregnant with his first and only son , king dongmyeong , but unfortunately , hae mosu was captured by the han soldiers and blinded him .",69
The village was renamed in English after the soap tycoon Lord Leverhulme who in 1920 redeveloped the village into a fish processing centre which was to have supplied a network of 400 fish shops across the UK called MacFisheries .,the village was renamed in english after the soap tycoon lord leverhulme who in 1920 redeveloped the village into a fish processing centre which was to have supplied a network of 400 fish shops across the uk called macfisheries .,72
"At Monte - Carlo , Nadal made it to his ninth consecutive final at the event , and fifth of the year , where he met world no. 1 Novak Djokovic , Nadal lost in straight sets , recording his first defeat at the event since 2004 .","at monte - carlo , nadal made it to his ninth consecutive final at the event , and fifth of the year , where he met world no. 1 novak djokovic , nadal lost in straight sets , recording his first defeat at the event since 2004 .",74
The University of North Carolina at Chapel Hill academics - athletics scandal is an ongoing controversy about fraud and academic dishonesty committed by the University of North Carolina at Chapel Hill ( UNC ) .,the university of north carolina at chapel hill academics - athletics scandal is an ongoing controversy about fraud and academic dishonesty committed by the university of north carolina at chapel hill ( unc ) .,75
"The band 's first single was '' The Way She Feels '' , with the music video first being released on 14 May , and the song first receiving radio airplay in the United States on 27 May 2007 .","the band 's first single was '' the way she feels '' , with the music video first being released on 14 may , and the song first receiving radio airplay in the united states on 27 may 2007 .",77
Upon completing his studies he began his artistic activity in earnest ; he established his place in the art world after exhibiting his work in one - man exhibitions and art fairs around the world .,upon completing his studies he began his artistic activity in earnest ; he established his place in the art world after exhibiting his work in one - man exhibitions and art fairs around the world .,79
Becoming a member of the Guards is considered one of the highest achievements a cadet can achieve at The Citadel .,becoming a member of the guards is considered one of the highest achievements a cadet can achieve at the citadel .,81
"Over the next two - and - a - half years he made 74 league appearances for MK Dons , scoring 22 goals , and played for the England U17 , U18 and U19 teams .","over the next two - and - a - half years he made 74 league appearances for mk dons , scoring 22 goals , and played for the england u17 , u18 and u19 teams .",85
"Lap 154 - Tony Stewart lost control while leading , slamming into Kurt Busch and both cars , who were running one - two at that time , hit the Turn 4 wall .","lap 154 - tony stewart lost control while leading , slamming into kurt busch and both cars , who were running one - two at that time , hit the turn 4 wall .",86
Wogan 's Perfect Recall was a Channel 4 game show presented by Terry Wogan broadcasted from 25 August 2008 to 19 November 2010 .,wogan 's perfect recall was a channel 4 game show presented by terry wogan broadcasted from 25 august 2008 to 19 november 2010 .,93
"The most abundant taxis are of the Nissan Tsuru model , and typically taxi drivers do not charge based on taximeter .","the most abundant taxis are of the nissan tsuru model , and typically taxi drivers do not charge based on taximeter .",94
"The town is on mostly flat terrain with no large watercourses nearby , and is situated at the boundary between two ecoregions : the Central Great Plains and the Flint Hills .","the town is on mostly flat terrain with no large watercourses nearby , and is situated at the boundary between two ecoregions : the central great plains and the flint hills .",96
Oregon Health & Science University ( OHSU ) is the present - day ( 2006 ) name for a university that can trace its roots back to the 1860s .,oregon health  science university ( ohsu ) is the present - day ( 2006 ) name for a university that can trace its roots back to the 1860s .,97
"The combined losses for Air India and Indian Airlines in 2006 -- 07 were and after the merger , it went up to by March 2009 .","the combined losses for air india and indian airlines in 2006 -- 07 were and after the merger , it went up to by march 2009 .",100
"By the time the device was perfected , Theo had healed to the point at which it was not necessary for him ; however , several thousand other children around the world benefited from the WDT valve before medicine technology progressed beyond it .","by the time the device was perfected , theo had healed to the point at which it was not necessary for him ; however , several thousand other children around the world benefited from the wdt valve before medicine technology progressed beyond it .",101
"A lot of his close friends were getting incarcerated , we was getting disappointed by the way other people were handling business as well .","a lot of his close friends were getting incarcerated , we was getting disappointed by the way other people were handling business as well .",103
"A Tandy Pocket Computer is one of a line of 1980s small pocket computers -- calculator - sized programmable computing devices -- sold primarily under the Tandy or Radio Shack brands , but were actually rebadged Sharp and Casio devices with different model names .","a tandy pocket computer is one of a line of 1980s small pocket computers -- calculator - sized programmable computing devices -- sold primarily under the tandy or radio shack brands , but were actually rebadged sharp and casio devices with different model names .",105
"Irvin Sello Mhlambi ( born August 17 , 1984 ) is a South African football ( soccer ) striker who formerly played for Premier Soccer League club Orlando Pirates .","irvin sello mhlambi ( born august 17 , 1984 ) is a south african football ( soccer ) striker who formerly played for premier soccer league club orlando pirates .",106
"A member of the Napoli Youth Academy , in 2010 , Insigne was sold to Lega Pro Prima Divisione club Foggia in a co-ownership deal with Napoli ; during his time with Foggia , he scored 19 goals under the tenure of Czech coach Zdeněk Zeman .","a member of the napoli youth academy , in 2010 , insigne was sold to lega pro prima divisione club foggia in a co-ownership deal with napoli ; during his time with foggia , he scored 19 goals under the tenure of czech coach zdenk zeman .",108
"In spite of further restoration in 1959 , the house was to remain unoccupied until the 1980s , when after a period of 160 years the present owner Edward Delaval Henry Astley , 22nd Baron Hastings moved into the west wing .","in spite of further restoration in 1959 , the house was to remain unoccupied until the 1980s , when after a period of 160 years the present owner edward delaval henry astley , 22nd baron hastings moved into the west wing .",109
"A qualified teacher , she taught and coached hockey at Oakham School until July 2014 , and became a full - time athlete , based at Bisham Abbey .","a qualified teacher , she taught and coached hockey at oakham school until july 2014 , and became a full - time athlete , based at bisham abbey .",113
"She was married to Yves Joseph Bellepeau , who was a businessman and who died three days after she was sworn in as Vice President .","she was married to yves joseph bellepeau , who was a businessman and who died three days after she was sworn in as vice president .",114
It has its editorial and administrative offices in Santa Cruz de Tenerife and is printed in the workshops of San Cristóbal de La Laguna .,it has its editorial and administrative offices in santa cruz de tenerife and is printed in the workshops of san cristbal de la laguna .,116
"During his twenty - year stay in the USA he played on Broadway , off Broadway at the Lincoln Center in NYC , in the Guthrie Theater of Minneapolis and in Hollywood .","during his twenty - year stay in the usa he played on broadway , off broadway at the lincoln center in nyc , in the guthrie theater of minneapolis and in hollywood .",117
"In March 1932 , Columbiana had a population of 1,180 and was a trading center for the surrounding agricultural areas of Central Alabama .","in march 1932 , columbiana had a population of 1,180 and was a trading center for the surrounding agricultural areas of central alabama .",118
"Maria Johanna Görtz , also known as '' Jeanette Görtz '' , ( 1783 - 1853 ) , was a Swedish artist , still life painter and drawing artist and a member of the Royal Swedish Academy of Arts .","maria johanna grtz , also known as '' jeanette grtz '' , ( 1783 - 1853 ) , was a swedish artist , still life painter and drawing artist and a member of the royal swedish academy of arts .",119
"The company supplies gas to domestic and industrial customers on a regulated basis , with tariffs determined by the Commission for Energy Regulation .","the company supplies gas to domestic and industrial customers on a regulated basis , with tariffs determined by the commission for energy regulation .",120
"However , a soil that meets the textural definition of loam can lose its characteristic desirable qualities when it is compacted , depleted of organic matter , or has clay dispersed throughout its fine - earth fraction .","however , a soil that meets the textural definition of loam can lose its characteristic desirable qualities when it is compacted , depleted of organic matter , or has clay dispersed throughout its fine - earth fraction .",121
"The five - story building where Marks & Co. was located during the novel 's action still exists , and has a small round gold - coloured plaque mentioning the memoir on a pillar of the outer wall .","the five - story building where marks  co. was located during the novel 's action still exists , and has a small round gold - coloured plaque mentioning the memoir on a pillar of the outer wall .",122
"Isaac followed the path of the three previous storms in the Atlantic basin , Florence , Gordon and Helene ; it formed in the Central Atlantic and moved to the east toward Europe .","isaac followed the path of the three previous storms in the atlantic basin , florence , gordon and helene ; it formed in the central atlantic and moved to the east toward europe .",124
Ruskin continued to support Hunt and Rossetti and provided funds to encourage the art of Rossetti 's wife Elizabeth Siddal .,ruskin continued to support hunt and rossetti and provided funds to encourage the art of rossetti 's wife elizabeth siddal .,125
Henshaw 's attitude to the continual shortage of priests was simple : pray and the Lord will provide .,henshaw 's attitude to the continual shortage of priests was simple : pray and the lord will provide .,126
"She taught herself to draw while recuperating from a leg injury , often using herself as her model , and began selling cartoons to magazines while still in high school .","she taught herself to draw while recuperating from a leg injury , often using herself as her model , and began selling cartoons to magazines while still in high school .",128
"Bowyers was a large company based in Trowbridge , Wiltshire , England , based manufacturer of meat products , with a particularly well known brand of sausages which are still produced today .","bowyers was a large company based in trowbridge , wiltshire , england , based manufacturer of meat products , with a particularly well known brand of sausages which are still produced today .",129
"In England , the best paying nude jobs are appearing in Page Three of tabloid newspapers such as The Sun. A Page Three regular can earn £ 30,000 -- as much as the average fashion model .","in england , the best paying nude jobs are appearing in page three of tabloid newspapers such as the sun. a page three regular can earn  30,000 -- as much as the average fashion model .",131
During the war Sievers was the administrator in charge of the Ahenerbe 's Military Scientific Institute responsible for grisly experiments conducted at concentration camps .,during the war sievers was the administrator in charge of the ahenerbe 's military scientific institute responsible for grisly experiments conducted at concentration camps .,132
It is now believed that dietary nitrate in the form of plant - based foods is converted in the body to nitric oxide which reduces hypertension .,it is now believed that dietary nitrate in the form of plant - based foods is converted in the body to nitric oxide which reduces hypertension .,133
"He repossessed mining properties when owners defaulted on their loans , placing him in the mining industry .","he repossessed mining properties when owners defaulted on their loans , placing him in the mining industry .",134
"In 1939 , Beringer invited attendees of the Golden Gate International Exposition to visit the winery ; the winery also invited Hollywood stars including Clark Gable , Charles Laughton , and Carole Lombard to visit .","in 1939 , beringer invited attendees of the golden gate international exposition to visit the winery ; the winery also invited hollywood stars including clark gable , charles laughton , and carole lombard to visit .",135
"Abby , Andy , Elizabeth , Mark , and Jenna ; two of their children are adopted .","abby , andy , elizabeth , mark , and jenna ; two of their children are adopted .",136
"Sunny 's band decided to lock up the door and never speak of it again , and it was forgotten until Li'l D and the others defeated it by turning it into a huge sloppy joe and selling it .","sunny 's band decided to lock up the door and never speak of it again , and it was forgotten until li'l d and the others defeated it by turning it into a huge sloppy joe and selling it .",137
"In the early 1960s they sold the station to Kentucky financier Garvis Kincaid where it became part of the Bluegrass Broadcasting chain , headquartered in Lexington , Kentucky .","in the early 1960s they sold the station to kentucky financier garvis kincaid where it became part of the bluegrass broadcasting chain , headquartered in lexington , kentucky .",138
In the first half of the 2010 -- 11 season Stancu managed to score 16 times in 27 games after which Galatasaray paid € 5m to secure his services .,in the first half of the 2010 -- 11 season stancu managed to score 16 times in 27 games after which galatasaray paid  5m to secure his services .,139
"For this reason the ambassadors were not given the formal treatment that was due diplomatic matters representatives ; at last , the Korean ambassadors asked for Hideyoshi to write a reply to the Korean king , for which they waited 20 days at the port of Sakai .","for this reason the ambassadors were not given the formal treatment that was due diplomatic matters representatives ; at last , the korean ambassadors asked for hideyoshi to write a reply to the korean king , for which they waited 20 days at the port of sakai .",144
"'' Got ta Tell You '' is the debut single by Irish singer Samantha Mumba , '' Billboard '' Hot 100 , number one in Ireland and New Zealand , and number two in the UK .","'' got ta tell you '' is the debut single by irish singer samantha mumba , '' billboard '' hot 100 , number one in ireland and new zealand , and number two in the uk .",146
"Joe Bushkin ( November 7 , 1916 - November 3 , 2004 ) was a jazz pianist who began by playing trumpet and piano with New York City dance bands .","joe bushkin ( november 7 , 1916 - november 3 , 2004 ) was a jazz pianist who began by playing trumpet and piano with new york city dance bands .",150
"The school also has a wartime reserve role , although it has publicly been stated that the school will not be used operationally unless a very urgent need arises .","the school also has a wartime reserve role , although it has publicly been stated that the school will not be used operationally unless a very urgent need arises .",151
"The Charity Shoal Crater is a in diameter , shallow rimmed , circular depression with an associated ridge , located underwater in the North - Eastern end of Lake Ontario , South - west of Wolfe Island .","the charity shoal crater is a in diameter , shallow rimmed , circular depression with an associated ridge , located underwater in the north - eastern end of lake ontario , south - west of wolfe island .",152
"Yonago ( 米子市 ; - shi ) is the second largest city after Tottori located in the southest in Tottori , Japan , facing the Sea of Japan , and adjacented to Shimane .","yonago (  ; - shi ) is the second largest city after tottori located in the southest in tottori , japan , facing the sea of japan , and adjacented to shimane .",153
"It was truncated to NY 383 in Scottsville in the late 1970s , at which time the former routing of NY 251 between Scottsville and Gates became part of an extended NY 386 .","it was truncated to ny 383 in scottsville in the late 1970s , at which time the former routing of ny 251 between scottsville and gates became part of an extended ny 386 .",156
"Alexander himself recognized that the idea of memorial reconstruction did not apply perfectly to the two plays he studied , which possessed problematical features that could not be explained this way ; he maintained that the quartos of the two early histories were '' partial '' memorial reconstructions .","alexander himself recognized that the idea of memorial reconstruction did not apply perfectly to the two plays he studied , which possessed problematical features that could not be explained this way ; he maintained that the quartos of the two early histories were '' partial '' memorial reconstructions .",157
"Masri is the daughter of Munib Masri from Nablus and an American mother from Texas who was raised in Beirut , where she has lived most of her life .","masri is the daughter of munib masri from nablus and an american mother from texas who was raised in beirut , where she has lived most of her life .",159
The ' Leyland 2S/350 ' gas turbine was developed by British Leyland to power road vehicles it was also used in the British Rail APT - E train .,the ' leyland 2s350 ' gas turbine was developed by british leyland to power road vehicles it was also used in the british rail apt - e train .,162
"Isaac Barré ( 1726 -- 1802 ) , British soldier and politician , was born at Dublin in 1726 , the son of a French refugee .","isaac barr ( 1726 -- 1802 ) , british soldier and politician , was born at dublin in 1726 , the son of a french refugee .",163
"The Game had several ports to Amstrad CPC , Commodore 64 , MSX , ZX Spectrum , a rumored port to the Amiga & Atari ST was mentioned , but never came to fruition .","the game had several ports to amstrad cpc , commodore 64 , msx , zx spectrum , a rumored port to the amiga  atari st was mentioned , but never came to fruition .",167
"In June 1778 , British troops left Philadelphia , and Darrah 's children returned to their family home .","in june 1778 , british troops left philadelphia , and darrah 's children returned to their family home .",168
"A Mother Goose and a '' Snoopy Says '' See ' n Say were unveiled in 1969 , one recited nursery rhymes the other featured Peanuts comic strip characters .","a mother goose and a '' snoopy says '' see ' n say were unveiled in 1969 , one recited nursery rhymes the other featured peanuts comic strip characters .",169
"After being acquired by HotShed Retail , dStore initially sold VHS Movies , CDs and console games before expanding into gifts , DVDs , fragrances , cosmetics , homewares , toys , computers , electronics , books and more .","after being acquired by hotshed retail , dstore initially sold vhs movies , cds and console games before expanding into gifts , dvds , fragrances , cosmetics , homewares , toys , computers , electronics , books and more .",171
"The last patches of this tree 's habitat are still threatened , and although it produces large amounts of fruit with fertile seed , these do not often germinate .","the last patches of this tree 's habitat are still threatened , and although it produces large amounts of fruit with fertile seed , these do not often germinate .",172
Air races had been held sporadically on the Isle of Man from 1924 and the entrants were permitted to use two fields at Ronaldsway on the proviso that the entry was limited to 10 aircraft .,air races had been held sporadically on the isle of man from 1924 and the entrants were permitted to use two fields at ronaldsway on the proviso that the entry was limited to 10 aircraft .,173
It is named for Lu Xun and has been awarded every three years since 1995 .,it is named for lu xun and has been awarded every three years since 1995 .,174
"The high - temperature exhaust turned out to be a fair radar reflector at certain wavelengths , and as the entire technique relied on problems in the radar display systems , upgrades to these systems could render the entire idea moot .","the high - temperature exhaust turned out to be a fair radar reflector at certain wavelengths , and as the entire technique relied on problems in the radar display systems , upgrades to these systems could render the entire idea moot .",175
"Roger Dean Broughton ( b. 7 October , 1958 in Gisborne and d. 25 August , 2004 in Hiruharama ) was a New Zealand cricketer who played 21 first - class matches and 16 limited - overs for the Northern Districts Knights in the 1980s .","roger dean broughton ( b. 7 october , 1958 in gisborne and d. 25 august , 2004 in hiruharama ) was a new zealand cricketer who played 21 first - class matches and 16 limited - overs for the northern districts knights in the 1980s .",177
"It was first described by George Waterhouse in 1843 ; it vanished from view for over a century before its rediscovery in Ku - ring - gai Chase National Park north of Sydney , in 1967 .","it was first described by george waterhouse in 1843 ; it vanished from view for over a century before its rediscovery in ku - ring - gai chase national park north of sydney , in 1967 .",178
"The members of '' Save Rosenblatt '' believed that Rosenblatt Stadium should be retained and enhanced , saying that the CWS and the City of Omaha would have been better served by one of the current proposals for a remodeled Rosenblatt and modified area around the stadium .","the members of '' save rosenblatt '' believed that rosenblatt stadium should be retained and enhanced , saying that the cws and the city of omaha would have been better served by one of the current proposals for a remodeled rosenblatt and modified area around the stadium .",180
